,country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Belgium,3.9,2.4,3.2,5.5,2.4,3.2,4.3,5.0,3.9,4.9,10.9,7.6
1,Bulgaria,-0.3,-6.6,-6.6,-6.7,-6.8,-6.8,-7.0,-7.3,4.3,6.3,4.2,6.4
2,Czechia,1.0,-0.1,2.1,1.5,1.9,2.7,3.6,4.1,2.5,4.8,30.9,8.7
3,Denmark,3.0,3.8,4.8,7.4,5.7,4.2,3.2,1.6,1.9,4.6,10.2,5.0
4,Germany,4.9,5.6,7.2,14.3,5.6,5.1,4.8,3.7,2.4,3.7,17.3,-6.9
5,Estonia,-2.8,-2.0,-0.5,1.8,0.8,4.0,5.3,4.1,2.8,5.3,29.5,10.1
6,Ireland,-4.8,-2.5,0.4,2.8,8.3,5.2,11.2,8.8,6.1,12.0,18.7,10.0
7,Greece,-6.0,-5.4,-4.3,-4.2,1.0,0.8,1.6,3.3,0.6,-15.2,1.7,3.8
8,Spain,-3.0,-5.4,-2.2,-0.1,1.7,3.8,7.0,9.7,5.0,4.2,15.3,13.2
9,France,1.1,1.5,0.5,-0.4,-0.3,0.8,1.7,0.6,2.8,2.2,2.4,2.7
10,Croatia,-0.9,-4.7,-6.1,-8.0,-9.3,-11.7,-7.5,-4.9,-4.9,-1.2,3.0,7.8
11,Italy,4.2,2.6,0.8,0.5,0.7,1.0,10.2,0.7,-1.2,1.6,4.9,4.6
12,Cyprus,-0.7,-14.0,-17.4,-2.4,2.9,7.2,9.3,10.0,5.0,6.2,14.3,9.9
13,Latvia,-5.8,-7.1,-4.3,-5.4,-6.2,-4.0,-2.5,-1.8,-1.7,-0.2,11.7,1.3
14,Lithuania,-6.0,-4.8,-3.5,-6.7,-8.7,-7.3,-0.4,3.9,7.4,7.0,25.5,15.7
15,Luxembourg,18.9,19.0,19.9,19.6,16.2,15.8,16.3,16.6,10.7,13.2,20.5,14.0
16,Hungary,1.6,-0.8,-0.1,0.3,-0.8,1.1,2.5,2.7,1.0,2.2,3.8,2.7
17,Malta,10.1,13.9,22.4,22.4,18.9,31.5,35.9,42.1,1.8,7.4,41.0,37.9
18,Netherlands,0.8,1.2,2.1,3.2,4.6,4.7,5.0,6.2,3.9,6.1,12.6,7.6
19,Austria,5.2,6.6,8.6,13.2,7.5,5.1,4.0,4.6,4.4,5.8,15.1,7.2
20,Poland,-0.1,-0.7,-0.3,-0.3,0.3,0.1,0.6,0.5,0.1,0.1,0.2,0.1
21,Portugal,-3.5,-3.4,-2.5,-0.3,-0.1,1.4,2.3,6.5,3.4,6.9,13.0,14.7
22,Romania,-1.1,-0.7,-1.0,-2.5,-3.2,-3.0,-2.9,-1.3,-1.4,-0.9,5.6,5.2
23,Slovenia,0.3,0.2,-0.2,0.2,0.5,0.6,7.2,7.8,8.7,1.2,6.9,5.4
24,Slovakia,0.6,0.4,0.3,0.6,0.7,0.7,0.7,0.7,0.8,-1.5,0.2,0.3
25,Finland,3.3,3.3,2.8,2.3,3.1,2.4,2.1,2.8,3.2,4.1,6.1,10.4
26,Sweden,5.4,6.9,7.9,8.1,11.9,10.1,8.5,7.0,3.5,4.9,5.6,2.3
27,Iceland,-0.9,5.1,3.4,4.5,12.2,24.1,18.6,13.8,6.7,13.2,25.7,24.0
28,Liechtenstein,6.3,5.4,3.6,4.9,2.1,5.7,4.2,7.2,7.0,3.8,7.2,6.4
29,Norway,9.4,7.7,7.8,5.0,5.6,4.1,3.4,4.8,2.1,3.7,10.6,9.6
30,Switzerland,8.3,10.2,9.4,8.5,8.3,5.2,4.7,5.0,6.3,5.7,7.8,15.4
31,United Kingdom,2.6,3.8,4.6,5.4,4.4,4.2,3.9,4.0,3.2,2.9,2.6,2.2
32,Montenegro,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
33,Moldova,0.0,-0.5,-9.1,-7.5,-6.9,-15.9,-17.6,-15.1,-11.7,-24.0,-17.0,-32.3
34,North Macedonia,-0.5,-0.2,-0.2,-0.2,-0.1,0.1,0.1,-0.1,-0.4,-113.6,-1.5,-0.1
35,Georgia,-4.9,-4.3,-4.6,-5.2,-2.2,1.6,-2.9,-2.2,4.2,-7.0,-2.5,-2.5
36,Albania,-6.8,-7.1,-7.5,-7.1,-3.2,-5.2,-5.2,-8.1,-5.9,-11.7,-11.7,-7.2
37,Serbia,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.3,0.0
38,TÃ¼rkiye,0.3,1.7,1.0,1.6,2.3,1.6,4.6,4.9,1.5,1.5,0.8,-4.0
39,Ukraine,1.4,0.7,0.5,0.3,0.2,0.3,0.4,0.5,0.2,0.1,0.1,0.1
40,Armenia,-4.1,-2.1,-2.0,-8.6,-8.3,-8.0,-6.2,-5.2,1.1,-1.7,-1.6,0.6
41,Azerbaijan,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.0,0.1,0.2,-9.0,0.1
